Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
8.65623	0	0	301	LastDelay	0.000752144	752.144	1	1
8.65623	0	0	301	FullDelay	1.81489	1.81489e+06	2	1
8.66046	0	0	302	LastDelay	0.000734144	734.144	1	1
8.66046	0	0	302	FullDelay	1.81706	1.81706e+06	2	1
8.66455	0	0	136	LastDelay	0.000743144	743.144	1	1
8.66455	0	0	136	FullDelay	3.54617	3.54617e+06	3	1
8.66645	0	0	137	LastDelay	0.000743144	743.144	1	1
8.66645	0	0	137	FullDelay	3.54601	3.54601e+06	3	1
8.67633	0	0	132	LastDelay	0.000752144	752.144	1	1
8.67633	0	0	132	FullDelay	3.5803	3.5803e+06	3	1
8.69024	0	0	305	LastDelay	0.000752144	752.144	1	1
8.69024	0	0	305	FullDelay	1.84089	1.84089e+06	2	1
8.69237	0	0	59	LastDelay	0.000761144	761.144	1	1
8.69237	0	0	59	FullDelay	5.03582	5.03582e+06	4	1
8.6944	0	0	306	LastDelay	0.000761144	761.144	1	1
8.6944	0	0	306	FullDelay	1.84302	1.84302e+06	2	1
8.71268	0	0	194	LastDelay	0.000698144	698.144	1	1
8.71268	0	0	194	FullDelay	2.5705	2.5705e+06	3	1
8.77456	0	0	362	LastDelay	0.000716144	716.144	1	1
8.77456	0	0	362	FullDelay	1.37128	1.37128e+06	2	1
8.94421	0	0	180	LastDelay	0.000716144	716.144	1	1
8.94421	0	0	180	FullDelay	2.82972	2.82972e+06	3	1
9.04806	0	0	198	LastDelay	0.000752144	752.144	1	1
9.04806	0	0	198	FullDelay	2.87358	2.87358e+06	3	1
9.11212	0	0	382	LastDelay	0.000734144	734.144	1	1
9.11212	0	0	382	FullDelay	1.53423	1.53423e+06	2	1
9.18036	0	0	378	LastDelay	0.000752144	752.144	1	1
9.18036	0	0	378	FullDelay	1.6124	1.6124e+06	2	1
9.18422	0	0	219	LastDelay	0.000743144	743.144	1	1
9.18422	0	0	219	FullDelay	2.9286	2.9286e+06	3	1
9.23031	0	0	224	LastDelay	0.000725144	725.144	1	1
9.23031	0	0	224	FullDelay	2.95683	2.95683e+06	3	1
9.32639	0	0	213	LastDelay	0.000734144	734.144	1	1
9.32639	0	0	213	FullDelay	3.095	3.095e+06	3	1
9.35246	0	0	244	LastDelay	0.000725144	725.144	1	1
9.35246	0	0	244	FullDelay	3.01878	3.01878e+06	3	1
9.38824	0	0	210	LastDelay	0.000743144	743.144	1	1
9.38824	0	0	210	FullDelay	3.16868	3.16868e+06	3	1
9.39219	0	0	211	LastDelay	0.000734144	734.144	1	1
9.39219	0	0	211	FullDelay	3.16885	3.16885e+06	3	1
9.53967	0	0	257	LastDelay	0.000761144	761.144	1	1
9.53967	0	0	257	FullDelay	3.07986	3.07986e+06	3	1
9.66392	0	0	229	LastDelay	0.000752144	752.144	1	1
9.66392	0	0	229	FullDelay	3.36252	3.36252e+06	3	1
9.6821	0	0	237	LastDelay	0.000743144	743.144	1	1
9.6821	0	0	237	FullDelay	3.36278	3.36278e+06	3	1
9.91047	0	0	101	LastDelay	0.000752144	752.144	1	1
9.91047	0	0	101	FullDelay	5.20754	5.20754e+06	4	1
9.94641	0	0	248	LastDelay	0.000761144	761.144	1	1
9.94641	0	0	248	FullDelay	3.50444	3.50444e+06	3	1
9.95457	0	0	16	LastDelay	0.000734144	734.144	1	1
9.95457	0	0	16	FullDelay	8.3668	8.3668e+06	7	1
9.96672	0	0	262	LastDelay	0.000761144	761.144	1	1
9.96672	0	0	262	FullDelay	3.49263	3.49263e+06	3	1
10.0505	0	0	18	LastDelay	0.000707144	707.144	1	1
10.0505	0	0	18	FullDelay	8.4547	8.4547e+06	7	1
10.1245	0	0	247	LastDelay	0.000734144	734.144	1	1
10.1245	0	0	247	FullDelay	3.69037	3.69037e+06	3	1
10.1621	0	0	273	LastDelay	0.000761144	761.144	1	1
10.1621	0	0	273	FullDelay	3.55814	3.55814e+06	3	1
10.2628	0	0	189	LastDelay	0.000743144	743.144	1	1
10.2628	0	0	189	FullDelay	4.1304	4.1304e+06	4	1
10.2787	0	0	315	LastDelay	0.000734144	734.144	1	1
10.2787	0	0	315	FullDelay	3.40933	3.40933e+06	3	1
10.2948	0	0	339	LastDelay	0.000761144	761.144	1	1
10.2948	0	0	339	FullDelay	3.28133	3.28133e+06	3	1
10.3227	0	0	343	LastDelay	0.000689144	689.144	1	1
10.3227	0	0	343	FullDelay	3.3012	3.3012e+06	3	1
10.3289	0	0	284	LastDelay	0.000734144	734.144	1	1
10.3289	0	0	284	FullDelay	3.66928	3.66928e+06	3	1
10.337	0	0	344	LastDelay	0.000761144	761.144	1	1
10.337	0	0	344	FullDelay	3.31359	3.31359e+06	3	1
10.3447	0	0	49	LastDelay	0.000725144	725.144	1	1
10.3447	0	0	49	FullDelay	6.74922	6.74922e+06	5	1
10.3849	0	0	24	LastDelay	0.000761144	761.144	1	1
10.3849	0	0	24	FullDelay	8.76543	8.76543e+06	7	1
10.4329	0	0	51	LastDelay	0.000707144	707.144	1	1
10.4329	0	0	51	FullDelay	6.83356	6.83356e+06	5	1
10.4405	0	0	58	LastDelay	0.000743144	743.144	1	1
10.4405	0	0	58	FullDelay	6.82765	6.82765e+06	5	1
10.4799	0	0	351	LastDelay	0.000698144	698.144	1	1
10.4799	0	0	351	FullDelay	3.41448	3.41448e+06	3	1
10.5456	0	0	303	LastDelay	0.000689144	689.144	1	1
10.5456	0	0	303	FullDelay	3.7001	3.7001e+06	3	1
10.5657	0	0	22	LastDelay	0.000743144	743.144	1	1
10.5657	0	0	22	FullDelay	8.95458	8.95458e+06	7	1
10.6014	0	0	164	LastDelay	0.000752144	752.144	1	1
10.6014	0	0	164	FullDelay	5.36461	5.36461e+06	4	1
10.6496	0	0	74	LastDelay	0.000761144	761.144	1	1
10.6496	0	0	74	FullDelay	6.91483	6.91483e+06	5	1
10.6553	0	0	193	LastDelay	0.000734144	734.144	1	1
10.6553	0	0	193	FullDelay	4.51509	4.51509e+06	4	1
10.6734	0	0	33	LastDelay	0.000752144	752.144	1	1
10.6734	0	0	33	FullDelay	8.1977	8.1977e+06	6	1
10.6834	0	0	167	LastDelay	0.000743144	743.144	1	1
10.6834	0	0	167	FullDelay	5.43482	5.43482e+06	4	1
10.6913	0	0	63	LastDelay	0.000752144	752.144	1	1
10.6913	0	0	63	FullDelay	7.01854	7.01854e+06	5	1
10.6954	0	0	64	LastDelay	0.000698144	698.144	1	1
10.6954	0	0	64	FullDelay	7.01873	7.01873e+06	5	1
10.7015	0	0	129	LastDelay	0.000743144	743.144	1	1
10.7015	0	0	129	FullDelay	5.62151	5.62151e+06	4	1
10.7741	0	0	1	LastDelay	0.000734144	734.144	1	1
10.7741	0	0	1	FullDelay	9.27082	9.27082e+06	12	1
10.78	0	0	365	LastDelay	0.000752144	752.144	1	1
10.78	0	0	365	FullDelay	3.37082	3.37082e+06	3	1
10.8934	0	0	179	LastDelay	0.000752144	752.144	1	1
10.8934	0	0	179	FullDelay	4.78098	4.78098e+06	4	1
10.9596	0	0	386	LastDelay	0.000761144	761.144	1	1
10.9596	0	0	386	FullDelay	3.37374	3.37374e+06	3	1
10.9676	0	0	388	LastDelay	0.000761144	761.144	1	1
10.9676	0	0	388	FullDelay	3.37765	3.37765e+06	3	1
10.9915	0	0	87	LastDelay	0.000752144	752.144	1	1
10.9915	0	0	87	FullDelay	6.3225	6.3225e+06	5	1
10.9994	0	0	89	LastDelay	0.000716144	716.144	1	1
10.9994	0	0	89	FullDelay	6.32655	6.32655e+06	5	1
11.0036	0	0	197	LastDelay	0.000725144	725.144	1	1
11.0036	0	0	197	FullDelay	4.83304	4.83304e+06	4	1
11.0181	0	0	177	LastDelay	0.000734144	734.144	1	1
11.0181	0	0	177	FullDelay	4.90978	4.90978e+06	4	1
11.0919	0	0	367	LastDelay	0.000734144	734.144	1	1
11.0919	0	0	367	FullDelay	3.66694	3.66694e+06	3	1
11.1161	0	0	373	LastDelay	0.000725144	725.144	1	1
11.1161	0	0	373	FullDelay	3.66703	3.66703e+06	3	1
11.2949	0	0	97	LastDelay	0.000743144	743.144	1	1
11.2949	0	0	97	FullDelay	6.60609	6.60609e+06	5	1
11.3306	0	0	243	LastDelay	0.000743144	743.144	1	1
11.3306	0	0	243	FullDelay	4.99895	4.99895e+06	4	1
11.3819	0	0	157	LastDelay	0.000761144	761.144	1	1
11.3819	0	0	157	FullDelay	6.19734	6.19734e+06	5	1
11.5178	0	0	92	LastDelay	0.000752144	752.144	1	1
11.5178	0	0	92	FullDelay	6.83897	6.83897e+06	5	1
11.5456	0	0	261	LastDelay	0.000716144	716.144	1	1
11.5456	0	0	261	FullDelay	5.07774	5.07774e+06	4	1
11.6476	0	0	228	LastDelay	0.000752144	752.144	1	1
11.6476	0	0	228	FullDelay	5.34823	5.34823e+06	4	1
11.8233	0	0	41	LastDelay	0.000761144	761.144	1	1
11.8233	0	0	41	FullDelay	8.49262	8.49262e+06	6	1
