Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
8.55936	0	0	207	FullDelay	0.000743144	743.144	1	1
8.58115	0	0	209	LastDelay	0.000761144	761.144	1	1
8.58115	0	0	209	FullDelay	0.000761144	761.144	1	1
8.64164	0	0	43	LastDelay	0.000761144	761.144	1	1
8.64164	0	0	43	FullDelay	4.76907	4.76907e+06	4	1
8.76823	0	0	47	LastDelay	0.000752144	752.144	1	1
8.76823	0	0	47	FullDelay	4.85169	4.85169e+06	4	1
8.8728	0	0	54	LastDelay	0.000716144	716.144	1	1
8.8728	0	0	54	FullDelay	4.89587	4.89587e+06	4	1
8.91683	0	0	99	LastDelay	0.000716144	716.144	1	1
8.91683	0	0	99	FullDelay	3.61648	3.61648e+06	3	1
8.9938	0	0	235	LastDelay	0.000752144	752.144	1	1
8.9938	0	0	235	FullDelay	0.000752144	752.144	1	1
9.02686	0	0	238	LastDelay	0.000734144	734.144	1	1
9.02686	0	0	238	FullDelay	0.000734144	734.144	1	1
9.06016	0	0	108	LastDelay	0.000698144	698.144	1	1
9.06016	0	0	108	FullDelay	3.42505	3.42505e+06	3	1
9.09285	0	0	128	LastDelay	0.000689144	689.144	1	1
9.09285	0	0	128	FullDelay	3.0797	3.0797e+06	3	1
9.14771	0	0	120	LastDelay	0.000752144	752.144	1	1
9.14771	0	0	120	FullDelay	3.1787	3.1787e+06	3	1
9.30224	0	0	245	LastDelay	0.000725144	725.144	1	1
9.30224	0	0	245	FullDelay	0.000725144	725.144	1	1
9.34105	0	0	248	LastDelay	0.000761144	761.144	1	1
9.34105	0	0	248	FullDelay	0.000761144	761.144	1	1
9.42398	0	0	32	LastDelay	0.000725144	725.144	1	1
9.42398	0	0	32	FullDelay	6.50776	6.50776e+06	5	1
9.50634	0	0	67	LastDelay	0.000725144	725.144	1	1
9.50634	0	0	67	FullDelay	5.15628	5.15628e+06	4	1
9.52272	0	0	184	LastDelay	0.000761144	761.144	1	1
9.52272	0	0	184	FullDelay	1.59259	1.59259e+06	2	1
9.56151	0	0	72	LastDelay	0.000761144	761.144	1	1
9.56151	0	0	72	FullDelay	5.18408	5.18408e+06	4	1
9.61633	0	0	64	LastDelay	0.000752144	752.144	1	1
9.61633	0	0	64	FullDelay	5.28282	5.28282e+06	4	1
9.63857	0	0	75	LastDelay	0.000761144	761.144	1	1
9.63857	0	0	75	FullDelay	5.24448	5.24448e+06	4	1
9.67172	0	0	78	LastDelay	0.000716144	716.144	1	1
9.67172	0	0	78	FullDelay	5.26131	5.26131e+06	4	1
9.75946	0	0	157	LastDelay	0.000761144	761.144	1	1
9.75946	0	0	157	FullDelay	3.13497	3.13497e+06	3	1
9.77067	0	0	170	LastDelay	0.000752144	752.144	1	1
9.77067	0	0	170	FullDelay	1.97273	1.97273e+06	2	1
9.84166	0	0	256	LastDelay	0.000734144	734.144	1	1
9.84166	0	0	256	FullDelay	0.000734144	734.144	1	1
9.9023	0	0	266	LastDelay	0.000752144	752.144	1	1
9.9023	0	0	266	FullDelay	0.000752144	752.144	1	1
9.91336	0	0	268	LastDelay	0.000752144	752.144	1	1
9.91336	0	0	268	FullDelay	0.000752144	752.144	1	1
10.0677	0	0	139	LastDelay	0.000707144	707.144	1	1
10.0677	0	0	139	FullDelay	3.57511	3.57511e+06	3	1
10.0895	0	0	142	LastDelay	0.000743144	743.144	1	1
10.0895	0	0	142	FullDelay	3.56381	3.56381e+06	3	1
10.095	0	0	147	LastDelay	0.000761144	761.144	1	1
10.095	0	0	147	FullDelay	3.52562	3.52562e+06	3	1
10.1279	0	0	277	LastDelay	0.000707144	707.144	1	1
10.1279	0	0	277	FullDelay	0.000707144	707.144	1	1
10.3149	0	0	205	LastDelay	0.000752144	752.144	1	1
10.3149	0	0	205	FullDelay	1.86694	1.86694e+06	2	1
10.3369	0	0	285	LastDelay	0.000725144	725.144	1	1
10.3369	0	0	285	FullDelay	0.000725144	725.144	1	1
10.3425	0	0	286	LastDelay	0.000752144	752.144	1	1
10.3425	0	0	286	FullDelay	0.000752144	752.144	1	1
10.359	0	0	289	LastDelay	0.000743144	743.144	1	1
10.359	0	0	289	FullDelay	0.000743144	743.144	1	1
10.4691	0	0	211	LastDelay	0.000734144	734.144	1	1
10.4691	0	0	211	FullDelay	1.87786	1.87786e+06	2	1
10.4855	0	0	13	LastDelay	0.000761144	761.144	1	1
10.4855	0	0	13	FullDelay	8.68551	8.68551e+06	7	1
10.6284	0	0	218	LastDelay	0.000725144	725.144	1	1
10.6284	0	0	218	FullDelay	1.95456	1.95456e+06	2	1
10.6395	0	0	219	LastDelay	0.000707144	707.144	1	1
10.6395	0	0	219	FullDelay	1.96011	1.96011e+06	2	1
10.6668	0	0	224	LastDelay	0.000752144	752.144	1	1
10.6668	0	0	224	FullDelay	1.96013	1.96013e+06	2	1
10.6722	0	0	225	LastDelay	0.000743144	743.144	1	1
10.6722	0	0	225	FullDelay	1.95998	1.95998e+06	2	1
